Products,Revenue,Revenue_%,Cumulative_%,ABC_Class
Product 195,24660.0,0.02202395987988576,99.53532810764753,C
Product 196,24660.0,0.02202395987988576,99.55735206752742,C
Product 197,24660.0,0.02202395987988576,99.5793760274073,C
Product 198,24584.65,0.021956664446919447,99.60133269185422,C
Product 199,24031.17,0.02146234890294867,99.62279504075717,C
Product 200,22500.0,0.020094853905005258,99.64288989466218,C
Product 201,21900.0,0.019558991134205117,99.66244888579638,C
Product 202,20550.0,0.0183532998999048,99.68080218569628,C
Product 203,20550.0,0.0183532998999048,99.69915548559618,C
Product 204,19180.0,0.01712974657324448,99.71628523216943,C
Product 205,18111.4,0.016175374978449432,99.73246060714787,C
Product 206,18079.249999999996,0.01614666166498072,99.74860726881285,C
Product 207,17536.0,0.015661482581252096,99.7642687513941,C
Product 208,17376.8,0.015519300326066458,99.77978805172016,C
Product 209,15201.52,0.013576547712622912,99.79336459943278,C
Product 210,13842.48,0.012362782812575874,99.80572738224535,C
Product 211,13234.2,0.011819525135538692,99.81754690738089,C
Product 212,12190.0,0.010886945293422849,99.82843385267431,C
Product 213,12167.98,0.010867279129734482,99.83930113180405,C
Product 214,11302.5,0.010094314944947641,99.849395446749,C
Product 215,10792.75,0.009639054865922023,99.85903450161493,C
Product 216,9967.1,0.00890166303807013,99.867936164653,C
Product 217,9948.05,0.008884649395097224,99.8768208140481,C
Product 218,9864.0,0.008809583951954305,99.88563039800006,C
Product 219,9632.7,0.00860300885381085,99.89423340685387,C
Product 220,9590.0,0.00856487328662224,99.90279828014049,C
Product 221,9453.0,0.008442517953956208,99.91124079809444,C
Product 222,9453.0,0.008442517953956208,99.91968331604839,C
Product 223,8729.6,0.00779644607329484,99.92747976212169,C
Product 224,8289.8,0.007403658662298336,99.93488342078399,C
Product 225,8200.0,0.007323457867601916,99.94220687865159,C
Product 226,7847.360000000001,0.007008513455110313,99.9492153921067,C
Product 227,7535.0,0.006729543296631761,99.95594493540332,C
Product 228,7110.0,0.006349973833981661,99.9622949092373,C
Product 229,6310.1,0.005635579450043275,99.96793048868734,C
Product 230,6267.0,0.005597086641007464,99.97352757532835,C
